Hillsborough Area Regional Transit_144506,Hillsborough Area Regional Transit_7706,28.022635,-82.41567,Hillsborough Area Regional Transit_1631,28.02499,-82.4165,,,,,,
0,FALSE,FALSE,10317037855783,1467836280000,28.044095,-82.416408,-11,0,0,9,0,fused
1,FALSE,FALSE,10317037855783,1467836280000,28.044095,-82.416408,-11,0,0,9,0,fused
2,FALSE,FALSE,10317037855783,1467836280000,28.044095,-82.416408,-11,0,0,9,0,fused
3,FALSE,FALSE,10318036978283,1467836281000,28.044095,-82.416408,-11,0,0,9,8,gps
4,FALSE,FALSE,10318036978283,1467836281000,28.044095,-82.416408,-11,0,0,9,8,gps
5,FALSE,FALSE,10319037938803,1467836282000,28.044095,-82.416408,-11,0,0,9,8,gps
6,FALSE,FALSE,10319037938803,1467836282000,28.044095,-82.416408,-11,0,0,9,8,gps
7,FALSE,FALSE,10320041756877,1467836283000,28.044092,-82.416408,-11,0.5,177,9,0,fused
8,FALSE,FALSE,10320041756877,1467836283000,28.044092,-82.416408,-11,0.5,177,9,0,fused
9,FALSE,FALSE,10321040849481,1467836284000,28.044084,-82.416404,-11,1,164.600006,9,8,gps
10,FALSE,FALSE,10322050799635,1467836285000,28.044065,-82.416396,-12,1.5,162,9,0,fused
11,FALSE,FALSE,10322050799635,1467836285000,28.044065,-82.416396,-12,1.5,162,9,0,fused
12,FALSE,FALSE,10323035456094,1467836286000,28.044031,-82.416384,-12,3,164.100006,9,8,gps
13,FALSE,FALSE,10324039131301,1467836287000,28.043998,-82.416373,-12,3.25,167.699997,9,8,gps
14,FALSE,FALSE,10324039131301,1467836287000,28.043998,-82.416373,-12,3.25,167.699997,9,8,gps
15,FALSE,FALSE,10325043660104,1467836288000,28.043966,-82.416366,-13,3.25,171,9,0,fused
16,FALSE,FALSE,10325043660104,1467836288000,28.043966,-82.416366,-13,3.25,171,9,0,fused
17,FALSE,FALSE,10326052121821,1467836289000,28.043939,-82.416362,-13,3,174,9,0,fused
18,FALSE,FALSE,10326052121821,1467836289000,28.043939,-82.416362,-13,3,174,9,0,fused
19,FALSE,FALSE,10327047437914,1467836290000,28.043913,-82.416359,-13,3,175.899994,9,8,gps
20,FALSE,FALSE,10328047294946,1467836291000,28.043887,-82.416355,-14,3,176,10,0,fused
21,FALSE,FALSE,10328047294946,1467836291000,28.043887,-82.416355,-14,3,176,10,0,fused
22,FALSE,FALSE,10329040221248,1467836292000,28.043856,-82.416353,-13,3,177,10,8,gps
23,FALSE,FALSE,10330051662601,1467836293000,28.043818,-82.416352,-14,3.5,178,9,0,fused
24,FALSE,FALSE,10330051662601,1467836293000,28.043818,-82.416352,-14,3.5,178,9,0,fused
25,FALSE,FALSE,10331052554581,1467836294000,28.043704,-82.416355,-15,7.25,179,10,0,fused
26,FALSE,FALSE,10331052554581,1467836294000,28.043704,-82.416355,-15,7.25,179,10,0,fused
27,FALSE,FALSE,10332035070934,1467836295000,28.043625,-82.416353,-15,8.25,179.600006,10,8,gps
28,FALSE,FALSE,10333035355413,1467836296000,28.04353,-82.416352,-15,9.75,179.5,9,8,gps
29,FALSE,FALSE,10333035355413,1467836296000,28.04353,-82.416352,-15,9.75,179.5,9,8,gps
30,FALSE,FALSE,10334036628381,1467836297000,28.043447,-82.416359,-13,10.75,180,9,0,fused
31,FALSE,FALSE,10334036628381,1467836297000,28.043447,-82.416359,-13,10.75,180,9,0,fused
32,FALSE,FALSE,10335030161298,1467836298000,28.043337,-82.416356,-14,11.75,180.600006,9,9,gps
33,FALSE,FALSE,10336034735620,1467836299000,28.043215,-82.41636,-13,12.5,180.600006,9,9,gps
34,FALSE,FALSE,10336034735620,1467836299000,28.043215,-82.41636,-13,12.5,180.600006,9,9,gps
35,FALSE,FALSE,10337035975359,1467836300000,28.043095,-82.416357,-13,13,180.5,9,9,gps
36,FALSE,FALSE,10337035975359,1467836300000,28.043095,-82.416357,-13,13,180.5,9,9,gps
37,FALSE,FALSE,10338038325618,1467836301000,28.042985,-82.416358,-13,13.5,180,9,0,fused
38,FALSE,FALSE,10338038325618,1467836301000,28.042985,-82.416358,-13,13.5,180,9,0,fused
39,FALSE,FALSE,10338038325618,1467836301000,28.042985,-82.416358,-13,13.5,180,9,0,fused
40,FALSE,FALSE,10339040677702,1467836302000,28.042855,-82.41634,-14,14.25,179,9,0,fused
41,FALSE,FALSE,10339040677702,1467836302000,28.042855,-82.41634,-14,14.25,179,9,0,fused
42,FALSE,FALSE,10340046662649,1467836303000,28.042721,-82.41635,-14,14.75,179,9,0,fused
43,FALSE,FALSE,10340046662649,1467836303000,28.042721,-82.41635,-14,14.75,179,9,0,fused
44,FALSE,FALSE,10341039295461,1467836304000,28.042582,-82.416358,-13,15.5,179.600006,9,9,gps
45,FALSE,FALSE,10342037847232,1467836305000,28.042439,-82.416358,-12,15.75,179,10,0,fused
46,FALSE,FALSE,10342037847232,1467836305000,28.042439,-82.416358,-12,15.75,179,10,0,fused
47,FALSE,FALSE,10343042399888,1467836306000,28.042288,-82.416354,-12,16.25,179,9,0,fused
48,FALSE,FALSE,10343042399888,1467836306000,28.042288,-82.416354,-12,16.25,179,9,0,fused
49,FALSE,FALSE,10344042625773,1467836307000,28.042137,-82.416355,-12,16.5,180,9,0,fused
50,FALSE,FALSE,10344042625773,1467836307000,28.042137,-82.416355,-12,16.5,180,9,0,fused
51,FALSE,FALSE,10345039268637,1467836308000,28.041982,-82.416355,-13,16.75,180,10,9,gps
52,FALSE,FALSE,10346041214886,1467836309000,28.041846,-82.416361,-13,17.25,179,9,0,fused
53,FALSE,FALSE,10346041214886,1467836309000,28.041846,-82.416361,-13,17.25,179,9,0,fused
54,FALSE,FALSE,10347042223897,1467836310000,28.041691,-82.416363,-13,17.75,180,9,0,fused
55,FALSE,FALSE,10347042223897,1467836310000,28.041691,-82.416363,-13,17.75,180,9,0,fused
56,FALSE,FALSE,10348036872333,1467836311000,28.041537,-82.416362,-14,17.75,180,9,9,gps
57,FALSE,FALSE,10349041160146,1467836312000,28.041377,-82.41636,-14,18,180,9,0,fused
58,FALSE,FALSE,10349041160146,1467836312000,28.041377,-82.41636,-14,18,180,9,0,fused
59,FALSE,FALSE,10350036135770,1467836313000,28.041215,-82.416364,-14,18.25,179.899994,9,9,gps
60,FALSE,FALSE,10351036110666,1467836314000,28.041045,-82.41637,-15,18.25,180.300003,9,9,gps
