Hillsborough Area Regional Transit_149855,Hillsborough Area Regional Transit_6555,28.032484,-82.401784,Hillsborough Area Regional Transit_5559,28.03244,-82.405462,,,,,,
0,FALSE,FALSE,43268294000000,1467841050901,28.032358,-82.416438,0,0,0,40.5,0,fused
1,FALSE,FALSE,43272670000000,1467841055277,28.032358,-82.416436,0,0,0,25.582001,0,fused
2,FALSE,FALSE,43272670000000,1467841055277,28.032358,-82.416436,0,0,0,25.582001,0,fused
3,FALSE,FALSE,43277827000000,1467841060434,28.032358,-82.416436,0,0,0,20.218,0,fused
4,FALSE,FALSE,43277827000000,1467841060434,28.032358,-82.416436,0,0,0,20.218,0,fused
5,FALSE,FALSE,43279596361856,1467841062000,28.032396,-82.415586,22,0.317805,181.100006,14,8,gps
6,FALSE,FALSE,43280596882481,1467841063205,28.032454,-82.415562,20,0.60407,263,8,0,fused
7,FALSE,FALSE,43281594073210,1467841064000,28.032483,-82.415542,12,0,0,8,9,gps
8,FALSE,FALSE,43282592298313,1467841065201,28.032456,-82.415542,8,0,0,6,0,fused
9,FALSE,FALSE,43283594627115,1467841066205,28.032456,-82.415535,7,0,0,4,0,fused
10,FALSE,FALSE,43283594627115,1467841066205,28.032456,-82.415535,7,0,0,4,0,fused
11,FALSE,FALSE,43283594627115,1467841066205,28.032456,-82.415535,7,0,0,4,0,fused
12,FALSE,FALSE,43284598633625,1467841067215,28.032447,-82.415536,6,0,0,4,0,fused
13,FALSE,FALSE,43285596029666,1467841068000,28.03244,-82.415542,4,0,0,4,9,gps
14,FALSE,FALSE,43286595512010,1467841069205,28.032426,-82.415552,3,0,0,3.9,0,fused
15,FALSE,FALSE,43287593793936,1467841070000,28.032406,-82.415566,0,0,0,3,9,gps
16,FALSE,FALSE,43288596168415,1467841071208,28.032406,-82.415568,-2,0,0,3.9,0,fused
17,FALSE,FALSE,43289595818154,1467841072000,28.032405,-82.415579,-5,0,0,3,9,gps
18,FALSE,FALSE,43290596324248,1467841073206,28.032405,-82.41558,-6,0,0,3.9,0,fused
19,FALSE,FALSE,43291594447685,1467841074000,28.032407,-82.415577,-6,0,0,3,9,gps
20,FALSE,FALSE,43292595896695,1467841075205,28.032406,-82.415579,-5,0,0,3.9,0,fused
21,FALSE,FALSE,43293596829820,1467841076207,28.032405,-82.41558,-5,0,0,3.9,0,fused
22,FALSE,FALSE,43294597338257,1467841077208,28.032405,-82.415581,-5,0,0,3.9,0,fused
23,FALSE,FALSE,43295596701902,1467841078000,28.032405,-82.415581,-5,0,0,3,10,gps
24,FALSE,FALSE,43296594264402,1467841079202,28.032405,-82.415581,-5,0,0,3.9,0,fused
25,FALSE,FALSE,43297592897266,1467841080000,28.032405,-82.415581,-5,0,0,3,10,gps
26,FALSE,FALSE,43298594276172,1467841081202,28.032405,-82.415581,-5,0,0,3.9,0,fused
27,FALSE,FALSE,43299595961848,1467841082206,28.032405,-82.415581,-5,0,0,3.9,0,fused
28,FALSE,FALSE,43300596793775,1467841083206,28.032405,-82.415581,-5,0,0,3.9,0,fused
29,FALSE,FALSE,43301594723410,1467841084000,28.032405,-82.415581,-5,0,0,3,10,gps
30,FALSE,FALSE,43301594723410,1467841084000,28.032405,-82.415581,-5,0,0,3,10,gps
31,FALSE,FALSE,43302593035597,1467841085202,28.032405,-82.415581,-5,0,0,3.9,0,fused
32,FALSE,FALSE,43303594845649,1467841086205,28.032405,-82.415581,-5,0,0,3.9,0,fused
33,FALSE,FALSE,43304595782732,1467841087206,28.032405,-82.415581,-5,0,0,3.9,0,fused
34,FALSE,FALSE,43305595448461,1467841088204,28.032405,-82.415581,-5,0,0,3.9,0,fused
