USF Bull Runner_7,USF Bull Runner_102,28.059207,-82.413012,USF Bull Runner_129,28.0573,-82.409642,,,,,,
0,FALSE,FALSE,286670516000000,1468793130447,28.062191,-82.408339,0,0,0,27,0,network
1,FALSE,FALSE,286670516000000,1468793130447,28.062191,-82.408339,0,0,0,27,0,network
2,FALSE,FALSE,286670516000000,1468793130447,28.062191,-82.408339,0,0,0,27,0,network
3,FALSE,FALSE,286672862055928,1468793135000,28.062939,-82.408157,-29,0.5,180,10,5,gps
4,FALSE,FALSE,286672862055928,1468793135000,28.062939,-82.408157,-29,0.5,180,10,5,gps
5,FALSE,FALSE,286673858989469,1468793136000,28.062984,-82.408225,-35,1,297.899994,10,6,gps
6,FALSE,FALSE,286674862415250,1468793137000,28.06299,-82.408215,-19,0.25,297.899994,8,6,gps
7,FALSE,FALSE,286674862415250,1468793137000,28.06299,-82.408215,-19,0.25,297.899994,8,6,gps
8,FALSE,FALSE,286674862415250,1468793137000,28.06299,-82.408215,-19,0.25,297.899994,8,6,gps
9,FALSE,FALSE,286674862415250,1468793137000,28.06299,-82.408215,-19,0.25,297.899994,8,6,gps
10,FALSE,FALSE,286675864313426,1468793138000,28.062997,-82.408212,-12,0.25,297.899994,7,6,gps
11,FALSE,FALSE,286675864313426,1468793138000,28.062997,-82.408212,-12,0.25,297.899994,7,6,gps
12,FALSE,FALSE,286676864610978,1468793139000,28.063001,-82.408206,-13,0.25,297.899994,8,7,gps
13,FALSE,FALSE,286676864610978,1468793139000,28.063001,-82.408206,-13,0.25,297.899994,8,7,gps
14,FALSE,FALSE,286677870437905,1468793140000,28.063001,-82.408209,-11,0,0,7,7,gps
15,FALSE,FALSE,286677870437905,1468793140000,28.063001,-82.408209,-11,0,0,7,7,gps
16,FALSE,FALSE,286678862688582,1468793141000,28.063003,-82.408217,-21,0.25,297.899994,7,7,gps
17,FALSE,FALSE,286679867105144,1468793142000,28.063003,-82.408228,-19,0,0,7,7,gps
