Hillsborough Area Regional Transit_194227,Hillsborough Area Regional Transit_849,28.032698,-82.433939,Hillsborough Area Regional Transit_5509,28.03268,-82.432393,,,,,,
0,FALSE,FALSE,18257359071228,1468779726850,28.032718,-82.397612,-9,9.900004,271,9,0,fused
1,FALSE,FALSE,18258359391280,1468779728000,28.032728,-82.397716,-8,9.680005,271.600006,9,11,gps
2,FALSE,FALSE,18258359391280,1468779728000,28.032728,-82.397716,-8,9.680005,271.600006,9,11,gps
3,FALSE,FALSE,18259360477842,1468779729000,28.032727,-82.397815,-8,9.65,270.700012,9,11,gps
4,FALSE,FALSE,18259360477842,1468779729000,28.032727,-82.397815,-8,9.65,270.700012,9,11,gps
5,FALSE,FALSE,18260357929613,1468779730000,28.032721,-82.397905,-9,9.300135,270,9,11,gps
6,FALSE,FALSE,18261360144664,1468779731000,28.032729,-82.397991,-8,9.250195,271.299988,10,11,gps
7,FALSE,FALSE,18261360144664,1468779731000,28.032729,-82.397991,-8,9.250195,271.299988,10,11,gps
8,FALSE,FALSE,18262358501904,1468779732000,28.032736,-82.398091,-10,10.340175,270.600006,9,11,gps
9,FALSE,FALSE,18262358501904,1468779732000,28.032736,-82.398091,-10,10.340175,270.600006,9,11,gps
10,FALSE,FALSE,18263358602945,1468779733000,28.032736,-82.398223,-10,11.420039,270.299988,9,11,gps
11,FALSE,FALSE,18263358602945,1468779733000,28.032736,-82.398223,-10,11.420039,270.299988,9,11,gps
12,FALSE,FALSE,18264357009872,1468779734000,28.032742,-82.398351,-9,12.500064,270.299988,9,11,gps
13,FALSE,FALSE,18265358819402,1468779735000,28.032741,-82.398493,-10,13.490014,270.600006,9,11,gps
14,FALSE,FALSE,18265358819402,1468779735000,28.032741,-82.398493,-10,13.490014,270.600006,9,11,gps
15,FALSE,FALSE,18266358793412,1468779736000,28.032746,-82.398615,-11,13.000246,270.100006,9,11,gps
16,FALSE,FALSE,18266358793412,1468779736000,28.032746,-82.398615,-11,13.000246,270.100006,9,11,gps
17,FALSE,FALSE,18267359157162,1468779737000,28.032752,-82.398767,-11,14.300004,270.799988,9,11,gps
18,FALSE,FALSE,18267359157162,1468779737000,28.032752,-82.398767,-11,14.300004,270.799988,9,11,gps
19,FALSE,FALSE,18268358958620,1468779738000,28.032755,-82.398934,-11,15.180014,270.799988,10,11,gps
20,FALSE,FALSE,18269360014088,1468779739000,28.032756,-82.399107,-11,15.990028,270.700012,10,11,gps
21,FALSE,FALSE,18269360014088,1468779739000,28.032756,-82.399107,-11,15.990028,270.700012,10,11,gps
22,FALSE,FALSE,18270356011484,1468779740000,28.032752,-82.399285,-11,16.750429,270.200012,10,11,gps
23,FALSE,FALSE,18271356384296,1468779741000,28.032756,-82.399475,-12,17.350349,271.200012,10,11,gps
24,FALSE,FALSE,18271356384296,1468779741000,28.032756,-82.399475,-12,17.350349,271.200012,10,11,gps
25,FALSE,FALSE,18272359195494,1468779742000,28.032773,-82.399629,-12,16.680002,272.5,11,11,gps
26,FALSE,FALSE,18272359195494,1468779742000,28.032773,-82.399629,-12,16.680002,272.5,11,11,gps
27,FALSE,FALSE,18273358986847,1468779743000,28.032785,-82.399821,-12,17.210011,272.600006,11,11,gps
28,FALSE,FALSE,18274358646691,1468779744000,28.032772,-82.400046,-12,18.790384,270.399994,10,11,gps
29,FALSE,FALSE,18274358646691,1468779744000,28.032772,-82.400046,-12,18.790384,270.399994,10,11,gps
30,FALSE,FALSE,18275358573930,1468779745000,28.032776,-82.400259,-10,18.870043,270.399994,11,11,gps
31,FALSE,FALSE,18275358573930,1468779745000,28.032776,-82.400259,-10,18.870043,270.399994,11,11,gps
32,FALSE,FALSE,18276356956221,1468779746000,28.032781,-82.400449,-10,19.181044,271,10,11,gps
33,FALSE,FALSE,18277358174710,1468779747000,28.032789,-82.400641,-11,19.230009,270.899994,10,11,gps
34,FALSE,FALSE,18277358174710,1468779747000,28.032789,-82.400641,-11,19.230009,270.899994,10,11,gps
35,FALSE,FALSE,18277358174710,1468779747000,28.032789,-82.400641,-11,19.230009,270.899994,10,11,gps
36,FALSE,FALSE,18278357913043,1468779748000,28.032796,-82.40084,-10,19.180002,270.799988,10,11,gps
37,FALSE,FALSE,18279357551064,1468779749000,28.03279,-82.401048,-12,19.090378,270.399994,10,11,gps
38,FALSE,FALSE,18279357551064,1468779749000,28.03279,-82.401048,-12,19.090378,270.399994,10,11,gps
39,FALSE,FALSE,18280358333876,1468779750000,28.032797,-82.401256,-12,19.130127,270.100006,10,11,gps
40,FALSE,FALSE,18280358333876,1468779750000,28.032797,-82.401256,-12,19.130127,270.100006,10,11,gps
41,FALSE,FALSE,18281357955907,1468779751000,28.032798,-82.401448,-11,19.140022,270.100006,10,11,gps
42,FALSE,FALSE,18282357224188,1468779752000,28.032801,-82.401648,-11,19.34,270.600006,10,11,gps
43,FALSE,FALSE,18282357224188,1468779752000,28.032801,-82.401648,-11,19.34,270.600006,10,11,gps
44,FALSE,FALSE,18283355025489,1468779753000,28.032809,-82.401837,-10,19.36001,271.299988,10,11,gps
45,FALSE,FALSE,18284355796114,1468779754000,28.032812,-82.402003,-15,19.070513,270,11,11,gps
46,FALSE,FALSE,18284355796114,1468779754000,28.032812,-82.402003,-15,19.070513,270,11,11,gps
47,FALSE,FALSE,18285358985228,1468779755000,28.032819,-82.402194,-17,19.280313,270.700012,10,11,gps
48,FALSE,FALSE,18285358985228,1468779755000,28.032819,-82.402194,-17,19.280313,270.700012,10,11,gps
49,FALSE,FALSE,18286358487519,1468779756000,28.032821,-82.402388,-15,19.280024,270.5,11,11,gps
50,FALSE,FALSE,18286358487519,1468779756000,28.032821,-82.402388,-15,19.280024,270.5,11,11,gps
51,FALSE,FALSE,18287358417050,1468779757000,28.032832,-82.402581,-15,19.110003,270.799988,11,11,gps
52,FALSE,FALSE,18287358417050,1468779757000,28.032832,-82.402581,-15,19.110003,270.799988,11,11,gps
53,FALSE,FALSE,18288356920540,1468779758000,28.03283,-82.402804,-15,20.240061,268.600006,11,11,gps
54,FALSE,FALSE,18289357423143,1468779759000,28.032789,-82.403021,-15,19.660126,265.700012,10,11,gps
55,FALSE,FALSE,18289357423143,1468779759000,28.032789,-82.403021,-15,19.660126,265.700012,10,11,gps
56,FALSE,FALSE,18290359882362,1468779760000,28.03277,-82.403211,-15,19.390165,265.5,10,11,gps
57,FALSE,FALSE,18290359882362,1468779760000,28.03277,-82.403211,-15,19.390165,265.5,10,11,gps
58,FALSE,FALSE,18291358738247,1468779761000,28.03276,-82.403413,-15,19.670206,266.700012,10,11,gps
59,FALSE,FALSE,18292357179913,1468779762000,28.032756,-82.403608,-14,19.630022,268.200012,10,11,gps
60,FALSE,FALSE,18292357179913,1468779762000,28.032756,-82.403608,-14,19.630022,268.200012,10,11,gps
61,FALSE,FALSE,18293355900590,1468779763000,28.032752,-82.403803,-12,19.720001,268.700012,10,11,gps
62,FALSE,FALSE,18294360280121,1468779764000,28.032739,-82.403992,-12,19.750002,268.100006,10,11,gps
63,FALSE,FALSE,18294360280121,1468779764000,28.032739,-82.403992,-12,19.750002,268.100006,10,11,gps
64,FALSE,FALSE,18295356081318,1468779765000,28.032741,-82.404207,-11,20.000023,269.100006,11,10,gps
65,FALSE,FALSE,18296358043245,1468779766000,28.032751,-82.404389,-11,19.32,270.299988,12,10,gps
66,FALSE,FALSE,18296358043245,1468779766000,28.032751,-82.404389,-11,19.32,270.299988,12,10,gps
67,FALSE,FALSE,18297358997724,1468779767000,28.032731,-82.404607,-10,20.060001,268.600006,11,10,gps
68,FALSE,FALSE,18297358997724,1468779767000,28.032731,-82.404607,-10,20.060001,268.600006,11,10,gps
69,FALSE,FALSE,18297358997724,1468779767000,28.032731,-82.404607,-10,20.060001,268.600006,11,10,gps
70,FALSE,FALSE,18298357312515,1468779768000,28.032744,-82.404804,-11,19.980009,269.899994,11,10,gps
71,FALSE,FALSE,18299357537098,1468779769000,28.032761,-82.405018,-11,20.140009,270.700012,10,10,gps
72,FALSE,FALSE,18299357537098,1468779769000,28.032761,-82.405018,-11,20.140009,270.700012,10,10,gps
73,FALSE,FALSE,18300357939493,1468779770000,28.032747,-82.405194,-13,19.560091,269.600006,10,10,gps
74,FALSE,FALSE,18300357939493,1468779770000,28.032747,-82.405194,-13,19.560091,269.600006,10,10,gps
75,FALSE,FALSE,18301357873660,1468779771000,28.032737,-82.405371,-12,19.170042,269.299988,10,10,gps
76,FALSE,FALSE,18301357873660,1468779771000,28.032737,-82.405371,-12,19.170042,269.299988,10,10,gps
77,FALSE,FALSE,18302357807461,1468779772000,28.032736,-82.405575,-15,19.190042,269.899994,10,11,gps
78,FALSE,FALSE,18302357807461,1468779772000,28.032736,-82.405575,-15,19.190042,269.899994,10,11,gps
79,FALSE,FALSE,18303357603867,1468779773000,28.032746,-82.405774,-11,19.410208,270.700012,10,11,gps
80,FALSE,FALSE,18303357603867,1468779773000,28.032746,-82.405774,-11,19.410208,270.700012,10,11,gps
81,FALSE,FALSE,18304358382513,1468779774000,28.032755,-82.405971,-11,19.120129,270.799988,10,11,gps
82,FALSE,FALSE,18304358382513,1468779774000,28.032755,-82.405971,-11,19.120129,270.799988,10,11,gps
83,FALSE,FALSE,18305361123346,1468779775000,28.03274,-82.406132,-12,18.299999,269.200012,11,11,gps
84,FALSE,FALSE,18305361123346,1468779775000,28.03274,-82.406132,-12,18.299999,269.200012,11,11,gps
85,FALSE,FALSE,18306360426106,1468779776000,28.032757,-82.406333,-14,18.820002,271.299988,11,11,gps
86,FALSE,FALSE,18307358535480,1468779777000,28.032751,-82.406525,-13,18.959999,271.200012,11,11,gps
87,FALSE,FALSE,18307358535480,1468779777000,28.032751,-82.406525,-13,18.959999,271.200012,11,11,gps
88,FALSE,FALSE,18308359213292,1468779778000,28.032769,-82.406748,-13,19.710001,272.299988,11,11,gps
89,FALSE,FALSE,18308359213292,1468779778000,28.032769,-82.406748,-13,19.710001,272.299988,11,11,gps
90,FALSE,FALSE,18309360350219,1468779779000,28.032743,-82.406952,-14,19.780003,269.200012,12,11,gps
91,FALSE,FALSE,18309360350219,1468779779000,28.032743,-82.406952,-14,19.780003,269.200012,12,11,gps
92,FALSE,FALSE,18310360767198,1468779780000,28.03275,-82.407177,-16,20.490021,270,13,11,gps
93,FALSE,FALSE,18310360767198,1468779780000,28.03275,-82.407177,-16,20.490021,270,13,11,gps
94,FALSE,FALSE,18311360645635,1468779781000,28.032738,-82.407401,-17,20.830009,268.899994,12,11,gps
95,FALSE,FALSE,18311360645635,1468779781000,28.032738,-82.407401,-17,20.830009,268.899994,12,11,gps
96,FALSE,FALSE,18312358361416,1468779782000,28.032763,-82.407554,-16,18.650097,270,10,11,gps
97,FALSE,FALSE,18313360399697,1468779783000,28.032775,-82.407734,-16,18.480011,270,10,11,gps
98,FALSE,FALSE,18313360399697,1468779783000,28.032775,-82.407734,-16,18.480011,270,10,11,gps
99,FALSE,FALSE,18314358401415,1468779784000,28.032766,-82.407921,-17,18.26,269.700012,10,11,gps
100,FALSE,FALSE,18315355417925,1468779785000,28.032769,-82.408116,-18,17.98007,269.799988,10,11,gps
101,FALSE,FALSE,18315355417925,1468779785000,28.032769,-82.408116,-18,17.98007,269.799988,10,11,gps
102,FALSE,FALSE,18316356714227,1468779786000,28.032772,-82.40827,-18,16.940048,269.799988,10,11,gps
103,FALSE,FALSE,18316356714227,1468779786000,28.032772,-82.40827,-18,16.940048,269.799988,10,11,gps
104,FALSE,FALSE,18317355581883,1468779787000,28.032766,-82.408446,-19,16.140152,269.5,10,11,gps
105,FALSE,FALSE,18317355581883,1468779787000,28.032766,-82.408446,-19,16.140152,269.5,10,11,gps
106,FALSE,FALSE,18318360277143,1468779788000,28.03277,-82.408599,-18,15.890004,269.700012,10,11,gps
107,FALSE,FALSE,18318360277143,1468779788000,28.03277,-82.408599,-18,15.890004,269.700012,10,11,gps
108,FALSE,FALSE,18319359861205,1468779789000,28.032757,-82.408738,-17,14.240424,268.100006,9,11,gps
109,FALSE,FALSE,18320361154746,1468779790000,28.032774,-82.408866,-18,13.090061,270.399994,10,11,gps
110,FALSE,FALSE,18320361154746,1468779790000,28.032774,-82.408866,-18,13.090061,270.399994,10,11,gps
111,FALSE,FALSE,18321357027194,1468779791000,28.03277,-82.408988,-16,11.780424,271.700012,10,11,gps
112,FALSE,FALSE,18322357953391,1468779792000,28.032765,-82.40908,-16,10.960005,269.399994,10,11,gps
113,FALSE,FALSE,18322357953391,1468779792000,28.032765,-82.40908,-16,10.960005,269.399994,10,11,gps
114,FALSE,FALSE,18323355833703,1468779793000,28.032769,-82.40914,-14,8.64037,271.399994,10,11,gps
115,FALSE,FALSE,18324360145890,1468779794000,28.032766,-82.409192,-14,7.28044,270.700012,10,11,gps
116,FALSE,FALSE,18324360145890,1468779794000,28.032766,-82.409192,-14,7.28044,270.700012,10,11,gps
117,FALSE,FALSE,18325358166359,1468779795000,28.03277,-82.40923,-15,6.030133,269.700012,10,11,gps
118,FALSE,FALSE,18326359370265,1468779796000,28.032785,-82.409286,-15,5.780312,272.700012,11,11,gps
119,FALSE,FALSE,18326359370265,1468779796000,28.032785,-82.409286,-15,5.780312,272.700012,11,11,gps
120,FALSE,FALSE,18327358865108,1468779797000,28.032792,-82.409343,-16,5.790138,273.799988,12,11,gps
121,FALSE,FALSE,18328358918910,1468779798000,28.032799,-82.409379,-16,5.00009,275.200012,12,11,gps
122,FALSE,FALSE,18328358918910,1468779798000,28.032799,-82.409379,-16,5.00009,275.200012,12,11,gps
123,FALSE,FALSE,18329361450941,1468779799000,28.032772,-82.409394,-14,3.670054,264.399994,12,11,gps
124,FALSE,FALSE,18329361450941,1468779799000,28.032772,-82.409394,-14,3.670054,264.399994,12,11,gps
125,FALSE,FALSE,18330360944951,1468779800000,28.032744,-82.409409,-13,2.890277,255.300003,12,10,gps
126,FALSE,FALSE,18331353443909,1468779801000,28.032755,-82.409358,-12,0.812711,288.299988,11,10,gps
127,FALSE,FALSE,18331353443909,1468779801000,28.032755,-82.409358,-12,0.812711,288.299988,11,10,gps
128,FALSE,FALSE,18332352932710,1468779802000,28.032753,-82.40938,-11,0.488365,303.100006,11,10,gps
129,FALSE,FALSE,18333354106512,1468779803000,28.032769,-82.409374,-12,0,0,10,10,gps
130,FALSE,FALSE,18333354106512,1468779803000,28.032769,-82.409374,-12,0,0,10,10,gps
131,FALSE,FALSE,18334357275366,1468779804000,28.032761,-82.40937,-12,0,0,10,10,gps
132,FALSE,FALSE,18334357275366,1468779804000,28.032761,-82.40937,-12,0,0,10,10,gps
133,FALSE,FALSE,18335363296251,1468779805000,28.032761,-82.40937,-11,0,0,10,10,gps
134,FALSE,FALSE,18335363296251,1468779805000,28.032761,-82.40937,-11,0,0,10,10,gps
135,FALSE,FALSE,18336362126771,1468779806000,28.032758,-82.409366,-11,0,0,10,10,gps
136,FALSE,FALSE,18337355983906,1468779807000,28.032761,-82.409363,-11,0,0,10,10,gps
137,FALSE,FALSE,18337355983906,1468779807000,28.032761,-82.409363,-11,0,0,10,10,gps
138,FALSE,FALSE,18337355983906,1468779807000,28.032761,-82.409363,-11,0,0,10,10,gps
139,FALSE,FALSE,18338358823489,1468779808000,28.032765,-82.409348,-12,0,0,10,10,gps
140,FALSE,FALSE,18338358823489,1468779808000,28.032765,-82.409348,-12,0,0,10,10,gps
141,FALSE,FALSE,18339352510833,1468779809000,28.032765,-82.409348,-12,0,0,11,10,gps
142,FALSE,FALSE,18340351252082,1468779810000,28.032765,-82.409348,-12,0,0,12,9,gps
143,FALSE,FALSE,18340351252082,1468779810000,28.032765,-82.409348,-12,0,0,12,9,gps
144,FALSE,FALSE,18341350991457,1468779811000,28.032764,-82.409348,-12,0,0,13,9,gps
145,FALSE,FALSE,18342351381144,1468779812000,28.032764,-82.409348,-12,0,0,15,9,gps
146,FALSE,FALSE,18342351381144,1468779812000,28.032764,-82.409348,-12,0,0,15,9,gps
147,FALSE,FALSE,18343350642654,1468779813000,28.032764,-82.409348,-12,0,0,19,9,gps
148,FALSE,FALSE,18344352148904,1468779814000,28.032765,-82.409348,-12,0,0,24,9,gps
149,FALSE,FALSE,18344352148904,1468779814000,28.032765,-82.409348,-12,0,0,24,9,gps
150,FALSE,FALSE,18345350181924,1468779815000,28.032765,-82.409347,-12,0,0,29,9,gps
151,FALSE,FALSE,18346351764319,1468779816000,28.032765,-82.409347,-12,0,0,31,9,gps
