USF Bull Runner_11,USF Bull Runner_421,28.065656,-82.411269,USF Bull Runner_401,28.064358,-82.413793,,,,,,
0,TRUE,FALSE,2742179120624,1469747223000,28.064212,-82.413856,-2,0,0,6,0,fused
1,TRUE,FALSE,2743185547707,1469747224000,28.064216,-82.413857,-2,0,0,6,0,fused
2,TRUE,FALSE,2743185547707,1469747224000,28.064216,-82.413857,-2,0,0,6,0,fused
3,TRUE,FALSE,2743199000000,1469747224023,28.064136,-82.413566,0,0,0,22.243999,0,network
4,TRUE,FALSE,2744180571197,1469747225000,28.064219,-82.413855,-2,0,0,5,6,gps
5,TRUE,FALSE,2745183104842,1469747226000,28.064218,-82.413854,-2,0,0,5,0,fused
6,TRUE,FALSE,2745183104842,1469747226000,28.064218,-82.413854,-2,0,0,5,0,fused
7,TRUE,FALSE,2746184075623,1469747227000,28.06422,-82.413853,-2,0,0,4,0,fused
8,TRUE,FALSE,2746184075623,1469747227000,28.06422,-82.413853,-2,0,0,4,0,fused
9,TRUE,FALSE,2747228562862,1469747228000,28.064227,-82.413853,-2,1,2,4,0,fused
10,TRUE,FALSE,2747228562862,1469747228000,28.064227,-82.413853,-2,1,2,4,0,fused
11,TRUE,FALSE,2748179261078,1469747229000,28.064245,-82.413855,-2,1.75,354.299988,4,5,gps
12,TRUE,FALSE,2749177124815,1469747230000,28.06426,-82.413856,-2,1.75,354,5,0,fused
13,TRUE,FALSE,2749177124815,1469747230000,28.06426,-82.413856,-2,1.75,354,5,0,fused
14,TRUE,FALSE,2750187660340,1469747231000,28.064318,-82.413871,-4,3.5,345,5,0,fused
15,TRUE,FALSE,2750187660340,1469747231000,28.064318,-82.413871,-4,3.5,345,5,0,fused
16,TRUE,FALSE,2751215802457,1469747232000,28.064356,-82.41388,-5,3.5,346,4,0,fused
17,TRUE,FALSE,2751215802457,1469747232000,28.064356,-82.41388,-5,3.5,346,4,0,fused
18,TRUE,FALSE,2752186825558,1469747233000,28.064393,-82.413887,-5,3.5,349.899994,4,7,gps
19,TRUE,FALSE,2753208996662,1469747234000,28.064433,-82.413891,-5,3.75,354,4,0,fused
20,TRUE,FALSE,2753208996662,1469747234000,28.064433,-82.413891,-5,3.75,354,4,0,fused
21,TRUE,FALSE,2754189114058,1469747235000,28.064473,-82.413893,-3,3.75,356.299988,5,7,gps
22,TRUE,FALSE,2755214376558,1469747236000,28.064512,-82.413893,-3,3.75,358,6,0,fused
23,TRUE,FALSE,2755214376558,1469747236000,28.064512,-82.413893,-3,3.75,358,6,0,fused
24,TRUE,TRUE,2756214757858,1469747237000,28.064549,-82.413891,-2,3.75,1,6,0,fused
25,TRUE,TRUE,2756214757858,1469747237000,28.064549,-82.413891,-2,3.75,1,6,0,fused
