Hillsborough Area Regional Transit_144472,Hillsborough Area Regional Transit_1618,28.044336,-82.416145,Hillsborough Area Regional Transit_1617,28.039471,-82.416137,,,,,,
0,FALSE,FALSE,39587349000000,1467837371039,28.014074,-82.414489,0,0,0,19.341999,0,fused
1,FALSE,FALSE,39587349000000,1467837371039,28.014074,-82.414489,0,0,0,19.341999,0,fused
2,FALSE,FALSE,39587349000000,1467837371039,28.014074,-82.414489,0,0,0,19.341999,0,fused
3,FALSE,FALSE,39588555051703,1467837372000,28.014074,-82.414489,-22,0,0,9,7,gps
4,FALSE,FALSE,39589554202328,1467837373000,28.014074,-82.414489,-22,0,0,9,7,gps
5,FALSE,FALSE,39590557574202,1467837374250,28.014074,-82.414489,-22,0,0,9,0,fused
6,FALSE,FALSE,39591554175192,1467837375000,28.014074,-82.414489,-22,0,0,9,7,gps
7,FALSE,FALSE,39591554175192,1467837375000,28.014074,-82.414489,-22,0,0,9,7,gps
8,FALSE,FALSE,39592549182743,1467837376242,28.014074,-82.414489,-22,0,0,9,0,fused
9,FALSE,FALSE,39593556863785,1467837377250,28.014074,-82.414489,-22,0,0,9,0,fused
10,FALSE,FALSE,39594555004774,1467837378000,28.014074,-82.414489,-22,0,0,9,7,gps
11,FALSE,FALSE,39595554447534,1467837379000,28.014074,-82.414489,-22,0,0,9,7,gps
12,FALSE,FALSE,39596551984513,1467837380000,28.014074,-82.414489,-22,0,0,9,7,gps
13,FALSE,FALSE,39597556104408,1467837381248,28.014074,-82.414489,-22,0,0,9,0,fused
14,FALSE,FALSE,39598559028731,1467837382252,28.014074,-82.414489,-22,0,0,9,0,fused
15,FALSE,FALSE,39599553578991,1467837383000,28.014074,-82.414489,-22,0,0,9,7,gps
16,FALSE,FALSE,39600553612792,1467837384000,28.014074,-82.414489,-22,0,0,10,7,gps
17,FALSE,FALSE,39601546686594,1467837385000,28.014074,-82.414489,-22,0,0,10,7,gps
18,FALSE,FALSE,39602431000000,1467837386122,28.014074,-82.414489,0,0,0,21.496,0,fused
19,FALSE,FALSE,39602431000000,1467837386122,28.014074,-82.414489,0,0,0,21.496,0,fused
20,FALSE,FALSE,39603545295343,1467837387239,28.014074,-82.414489,-22,0,0,10,0,fused
21,FALSE,FALSE,39604548092478,1467837388240,28.014074,-82.414489,-22,0,0,11,0,fused
22,FALSE,FALSE,39605550944457,1467837389245,28.014074,-82.414489,-22,0,0,11,0,fused
23,FALSE,FALSE,39606553628259,1467837390000,28.014074,-82.414489,-22,0,0,11,7,gps
24,FALSE,FALSE,39606553628259,1467837390246,28.014074,-82.414489,-22,0,0,11,0,fused
25,FALSE,FALSE,39607548304717,1467837391000,28.014074,-82.414489,-22,0,0,11,7,gps
26,FALSE,FALSE,39608551256487,1467837392244,28.014074,-82.414489,-22,0,0,11,0,fused
27,FALSE,FALSE,39609547993258,1467837393000,28.014074,-82.414489,-22,0,0,11,7,gps
28,FALSE,FALSE,39610551025080,1467837394243,28.014074,-82.414489,-22,0,0,10,0,fused
29,FALSE,FALSE,39611552034299,1467837395246,28.014074,-82.414489,-22,0,0,10,0,fused
30,FALSE,FALSE,39612549080600,1467837396000,28.014074,-82.414489,-22,0,0,10,7,gps
31,FALSE,FALSE,39613554795287,1467837397000,28.014074,-82.414489,-22,0,0,10,7,gps
32,FALSE,FALSE,39614550976641,1467837398000,28.014074,-82.414489,-22,0,0,10,7,gps
33,FALSE,FALSE,39615551135130,1467837399244,28.014074,-82.414489,-22,0,0,10,0,fused
34,FALSE,FALSE,39616550402890,1467837400000,28.014074,-82.414489,-22,0,0,10,7,gps
35,FALSE,FALSE,39617551047890,1467837401246,28.014074,-82.414489,-22,0,0,10,0,fused
36,FALSE,FALSE,39618553019088,1467837402245,28.014074,-82.414489,-22,0,0,10,0,fused
37,FALSE,FALSE,39619553327160,1467837403250,28.014074,-82.414489,-22,0,0,10,0,fused
38,FALSE,FALSE,39620549090493,1467837404000,28.014074,-82.414489,-22,0,0,10,7,gps
39,FALSE,FALSE,39621549358618,1467837405247,28.014074,-82.414489,-22,0,0,10,0,fused
40,FALSE,FALSE,39621549358618,1467837405247,28.014074,-82.414489,-22,0,0,10,0,fused
41,FALSE,FALSE,39621549358618,1467837405247,28.014074,-82.414489,-22,0,0,10,0,fused
42,FALSE,FALSE,39622551278878,1467837406245,28.014074,-82.414489,-22,0,0,10,0,fused
43,FALSE,FALSE,39623550960023,1467837407000,28.014074,-82.414489,-22,0,0,10,7,gps
44,FALSE,FALSE,39624551681637,1467837408245,28.014074,-82.414489,-22,0,0,10,0,fused
45,FALSE,FALSE,39625551299033,1467837409244,28.014074,-82.414489,-22,0,0,10,0,fused
46,FALSE,FALSE,39626553102053,1467837410249,28.014074,-82.414489,-22,0,0,9,0,fused
47,FALSE,FALSE,39627551326688,1467837411000,28.014074,-82.414489,-22,0,0,9,7,gps
48,FALSE,FALSE,39628554603094,1467837412000,28.014074,-82.414489,-22,0,0,9,7,gps
49,FALSE,FALSE,39629551564552,1467837413000,28.014074,-82.414489,-22,0,0,9,7,gps
50,FALSE,FALSE,39630553766635,1467837414255,28.014074,-82.414489,-22,0,0,9,0,fused
51,FALSE,FALSE,39631554396062,1467837415000,28.014074,-82.414489,-22,0,0,10,7,gps
52,FALSE,FALSE,39632554907155,1467837416247,28.014074,-82.414489,-22,0,0,10,0,fused
53,FALSE,FALSE,39633551487832,1467837417000,28.014074,-82.414489,-22,0,0,10,7,gps
54,FALSE,FALSE,39634549936998,1467837418241,28.014074,-82.414489,-22,0,0,10,0,fused
55,FALSE,FALSE,39635556165644,1467837419250,28.014074,-82.414489,-22,0,0,10,0,fused
56,FALSE,FALSE,39636551341112,1467837420000,28.014074,-82.414489,-22,0,0,10,7,gps
57,FALSE,FALSE,39637561040591,1467837421256,28.014074,-82.414489,-22,0,0,10,0,fused
58,FALSE,FALSE,39638551797778,1467837422000,28.014074,-82.414489,-22,0,0,9,7,gps
59,FALSE,FALSE,39639555263090,1467837423248,28.014074,-82.414489,-22,0,0,9,0,fused
60,FALSE,FALSE,39640554002777,1467837424000,28.014074,-82.414489,-22,0,0,9,7,gps
61,FALSE,FALSE,39641553654495,1467837425246,28.014074,-82.414489,-22,0,0,9,0,fused
62,FALSE,FALSE,39641553654495,1467837425246,28.014074,-82.414489,-22,0,0,9,0,fused
63,FALSE,FALSE,39642557213714,1467837426249,28.014074,-82.414489,-22,0,0,9,0,fused
64,FALSE,FALSE,39643553874130,1467837427000,28.014074,-82.414489,-22,0,0,9,7,gps
65,FALSE,FALSE,39644552121630,1467837428246,28.014074,-82.414489,-22,0,0,9,0,fused
66,FALSE,FALSE,39645552610536,1467837429253,28.014074,-82.414489,-22,0,0,9,0,fused
67,FALSE,FALSE,39646560534962,1467837430252,28.014074,-82.414489,-22,0,0,9,0,fused
68,FALSE,FALSE,39647550711837,1467837431000,28.014074,-82.414489,-22,0,0,9,7,gps
69,FALSE,FALSE,39648556195482,1467837432248,28.014074,-82.414489,-22,0,0,9,0,fused
70,FALSE,FALSE,39649550958451,1467837433000,28.014074,-82.414489,-22,0,0,9,7,gps
71,FALSE,FALSE,39650552674336,1467837434000,28.014074,-82.414489,-22,0,0,9,7,gps
72,FALSE,FALSE,39651550624960,1467837435000,28.014074,-82.414488,-22,0,0,9,7,gps
73,FALSE,FALSE,39652556439647,1467837436249,28.014074,-82.414488,-22,0,0,9,0,fused
74,FALSE,FALSE,39653552940012,1467837437000,28.014074,-82.414488,-22,0,0,9,7,gps
75,FALSE,FALSE,39654548066678,1467837438239,28.014074,-82.414488,-22,0,0,9,0,fused
76,FALSE,FALSE,39655559147042,1467837439250,28.014074,-82.414488,-22,0,0,9,0,fused
77,FALSE,FALSE,39656551770479,1467837440000,28.014074,-82.414488,-22,0,0,9,7,gps
78,FALSE,FALSE,39657554713552,1467837441246,28.014074,-82.414488,-22,0,0,9,0,fused
79,FALSE,FALSE,39658553034489,1467837442000,28.014074,-82.414488,-22,0,0,9,7,gps
80,FALSE,FALSE,39659559617926,1467837443252,28.014074,-82.414488,-22,0,0,9,0,fused
81,FALSE,FALSE,39660550357196,1467837444000,28.014075,-82.414488,-22,0,0,9,8,gps
82,FALSE,FALSE,39661553899800,1467837445248,28.014074,-82.414488,-22,0,0,9,0,fused
83,FALSE,FALSE,39661553899800,1467837445248,28.014074,-82.414488,-22,0,0,9,0,fused
84,FALSE,FALSE,39662552036987,1467837446000,28.014075,-82.414488,-22,0,0,9,8,gps
85,FALSE,FALSE,39663551545320,1467837447244,28.014074,-82.414488,-22,0,0,9,0,fused
86,FALSE,FALSE,39664548725737,1467837448000,28.014074,-82.414488,-22,0,0,9,8,gps
87,FALSE,FALSE,39665553124955,1467837449246,28.014074,-82.414488,-22,0,0,9,0,fused
88,FALSE,FALSE,39666551520788,1467837450000,28.014074,-82.414488,-22,0,0,9,8,gps
89,FALSE,FALSE,39667555838288,1467837451247,28.014076,-82.414481,-21,0.41,132,9,0,fused
90,FALSE,FALSE,39668552453183,1467837452000,28.014077,-82.414499,-18,0.32249,225.600006,9,8,gps
91,FALSE,FALSE,39669555422037,1467837453254,28.014074,-82.41451,-16,0,0,9,0,fused
92,FALSE,FALSE,39670550138703,1467837454000,28.014075,-82.414517,-15,0,0,9,8,gps
93,FALSE,FALSE,39671555209536,1467837455247,28.014076,-82.414518,-14,0,0,9,0,fused
94,FALSE,FALSE,39672551243025,1467837456000,28.014085,-82.414519,-14,0,0,9,8,gps
95,FALSE,FALSE,39673553762139,1467837457247,28.014077,-82.414519,-14,0,0,9,0,fused
96,FALSE,FALSE,39674551887816,1467837458000,28.014078,-82.414521,-13,0,0,9,8,gps
97,FALSE,FALSE,39675557643285,1467837459251,28.014078,-82.414524,-11,0,0,3.9,0,fused
98,FALSE,FALSE,39676551883076,1467837460000,28.014077,-82.414523,-12,0,0,3,8,gps
99,FALSE,FALSE,39677557241044,1467837461000,28.014076,-82.414525,-11,0,0,3,8,gps
100,FALSE,FALSE,39678561248752,1467837462253,28.014069,-82.414524,-11,0.59439,216,3.9,0,fused
101,FALSE,FALSE,39679552827085,1467837463000,28.014073,-82.414539,-11,0.813019,261.600006,3,8,gps
102,FALSE,FALSE,39680550944533,1467837464243,28.014081,-82.414542,-11,0.580517,296,3.9,0,fused
103,FALSE,FALSE,39681559427866,1467837465253,28.014079,-82.414555,-11,1.13,256,4,0,fused
104,FALSE,FALSE,39682550167761,1467837466000,28.014086,-82.414556,-11,0.522398,309.399994,3,7,gps
105,FALSE,FALSE,39682550167761,1467837466000,28.014086,-82.414556,-11,0.522398,309.399994,3,7,gps
106,FALSE,FALSE,39683549781511,1467837467250,28.014078,-82.414559,-12,0.49163,316,3.9,0,fused
107,FALSE,FALSE,39684554295729,1467837468248,28.014073,-82.41456,-12,0.610328,291,3.9,0,fused
108,FALSE,FALSE,39685555017083,1467837469249,28.014078,-82.414568,-12,0.385876,268,3.9,0,fused
109,FALSE,FALSE,39686551365780,1467837470000,28.014081,-82.414567,-13,0.21,0,3,7,gps
110,FALSE,FALSE,39687553115884,1467837471247,28.014084,-82.414566,-13,0.424853,12,3.9,0,fused
111,FALSE,FALSE,39688550168852,1467837472000,28.014091,-82.414562,-12,0.301496,14.2,3,7,gps
112,FALSE,FALSE,39689553345310,1467837473000,28.014089,-82.414551,-12,0.49679,349.200012,3,7,gps
113,FALSE,FALSE,39690555012029,1467837474249,28.014093,-82.41455,-12,0.2,278,3.9,0,fused
114,FALSE,FALSE,39691553376716,1467837475000,28.014097,-82.414562,-12,0.90471,300,3,7,gps
115,FALSE,FALSE,39692554165570,1467837476247,28.014091,-82.414573,-11,1.02489,299,3.9,0,fused
116,FALSE,FALSE,39693555285361,1467837477248,28.01409,-82.414596,-11,1.60854,266,3.9,0,fused
