Hillsborough Area Regional Transit_144896,Hillsborough Area Regional Transit_4604,28.066453,-82.413144,Hillsborough Area Regional Transit_4219,28.065809,-82.412019
1460424527000,28.069332,-82.395664,0,20.250000,270.700012,gps
1460424551018,28.069002,-82.400960,0,0.000000,0.000000,network
1460424558095,28.068952,-82.398302,0,0.000000,0.000000,fused
1460424561000,28.069254,-82.401725,0,9.250000,248.000000,gps
1460424562000,28.069195,-82.401972,0,8.750000,237.000000,gps
1460424563000,28.069129,-82.401925,0,8.500000,220.399994,gps
1460424564000,28.068982,-82.401904,0,8.750000,204.300003,gps
1460424565000,28.068906,-82.401870,0,7.750000,197.399994,gps
1460424566000,28.068844,-82.401921,0,8.250000,201.100006,gps
1460424567000,28.068753,-82.401961,0,9.750000,201.800003,gps
1460424568000,28.068667,-82.401979,0,9.500000,193.800003,gps
1460424569000,28.068553,-82.401963,0,10.250000,185.300003,gps
1460424570000,28.068434,-82.401883,0,10.750000,184.399994,gps
1460424571000,28.068201,-82.401909,0,13.750000,183.500000,gps
1460424572000,28.068043,-82.401906,0,15.250000,183.600006,gps
1460424573000,28.067883,-82.401875,0,16.250000,181.500000,gps
1460424574000,28.067754,-82.401887,0,16.000000,180.000000,gps
1460424575000,28.067600,-82.401888,0,16.000000,181.300003,gps
1460424576000,28.067418,-82.401889,0,17.500000,181.600006,gps
1460424577000,28.067248,-82.401909,0,17.500000,182.899994,gps
1460424578000,28.067087,-82.401921,0,17.250000,182.199997,gps
1460424579000,28.066927,-82.401941,0,17.500000,182.600006,gps
1460424580000,28.066745,-82.401952,0,18.000000,182.899994,gps
1460424581000,28.066566,-82.401968,0,18.250000,184.300003,gps
1460424582000,28.066448,-82.401987,0,15.750000,187.100006,gps
1460424583000,28.066341,-82.401997,0,14.500000,187.399994,gps
1460424584000,28.066413,-82.402061,0,7.750000,213.899994,gps
1460424585000,28.066405,-82.402103,0,6.000000,229.300003,gps
1460424586000,28.066384,-82.402213,0,7.000000,261.399994,gps
1460424587000,28.066375,-82.402290,0,7.000000,264.200012,gps
1460424588000,28.066386,-82.402391,0,8.250000,273.000000,gps
1460424589000,28.066395,-82.402494,0,9.500000,269.200012,gps
1460424590000,28.066398,-82.402638,0,11.250000,267.399994,gps
1460424591000,28.066392,-82.402770,0,12.250000,266.500000,gps
1460424592000,28.066370,-82.402883,0,14.000000,261.399994,gps
1460424593000,28.066339,-82.402963,0,14.000000,260.500000,gps
1460424594000,28.066314,-82.403127,0,16.250000,258.200012,gps
1460424595000,28.066268,-82.403312,0,17.000000,255.399994,gps
1460424596000,28.066221,-82.403486,0,17.750000,254.399994,gps
1460424597000,28.066208,-82.403614,0,18.500000,254.600006,gps
1460424598000,28.066165,-82.403808,0,18.750000,253.100006,gps
1460424599000,28.066098,-82.403988,0,19.000000,250.399994,gps
1460424600000,28.066039,-82.404155,0,18.750000,249.800003,gps
1460424601000,28.065976,-82.404330,0,18.750000,249.800003,gps
1460424602000,28.065923,-82.404504,0,18.000000,250.699997,gps
1460424603000,28.065884,-82.404681,0,18.000000,254.000000,gps
1460424604000,28.065835,-82.404851,0,18.000000,255.600006,gps
1460424605000,28.065790,-82.405011,0,18.000000,255.699997,gps
1460424606000,28.065783,-82.405191,0,18.000000,261.899994,gps
1460424607000,28.065767,-82.405375,0,18.000000,263.700012,gps
1460424608000,28.065756,-82.405557,0,17.750000,266.299988,gps
1460424609000,28.065738,-82.405719,0,17.500000,266.399994,gps
1460424610000,28.065741,-82.405915,0,17.500000,269.700012,gps
1460424611000,28.065747,-82.406100,0,17.500000,270.700012,gps
1460424612000,28.065768,-82.406326,0,18.750000,272.500000,gps
1460424613000,28.065770,-82.406530,0,19.000000,272.100006,gps
1460424614000,28.065763,-82.406686,0,18.000000,271.600006,gps
1460424615000,28.065772,-82.406841,0,17.250000,272.799988,gps
1460424616000,28.065737,-82.406929,0,15.000000,269.200012,gps
1460424617000,28.065781,-82.407053,0,12.750000,270.100006,gps
1460424618000,28.065788,-82.407223,0,13.000000,269.700012,gps
1460424619000,28.065802,-82.407372,0,13.250000,270.799988,gps
1460424620000,28.065788,-82.407501,0,13.250000,268.600006,gps
1460424621000,28.065792,-82.407640,0,13.250000,270.000000,gps
1460424622000,28.065757,-82.407752,0,12.750000,266.500000,gps
1460424623000,28.065714,-82.407882,0,13.000000,262.100006,gps
1460424624000,28.065740,-82.407973,0,12.250000,267.899994,gps
1460424625000,28.065743,-82.407999,0,10.500000,269.399994,gps
